pk_feature_id,city_code,city_name,city_area,parcel_area,percentage,household
54000000000033,0704041301,جهرم,33633599.61066555,32330394.032594774,96.12528663849136,77564
54000000000001,0703032082,حسن اباد,1145984.7447230457,1144044.9414304006,99.83073044370116,1090
54000000000002,1022012094,شاپورآباد,1239933.0570605039,1239933.0570592808,99.99999999990136,3826
54000000000003,1021012093,گلشن,1681109.4206365356,1681109.420634261,99.9999999998647,6287
54000000000004,0215022713,پول,1933122.8823259291,0,0,0
54000000000006,0725012710,كوهنجان,1031154.9003274207,1031154.9003274896,100.00000000000668,1956
54000000000007,0721042708,اسير,3405304.7360166847,3297210.399073795,96.825707379442,1340
54000000000008,0704022707,دوزه,811520.1972649671,810926.0791282696,99.92678948241831,706
54000000000009,0711082709,عمادده,2886158.0630016485,2860148.176039377,99.09880587291117,3509
54000000000010,0713032712,خومه زار,1887383.723683643,1887132.9651196967,99.98671395960453,2907
54000000000011,2208032092,سرگز,815512.0395566146,815512.039556593,99.99999999999736,492
54000000000012,0614032718,صالح مشطت,647810.8513662294,637876.6461722538,98.46649601916603,1006
54000000000013,0612032714,گوريه,1447528.360769454,0,0,0
54000000000014,0619022719,مشراگه,1256995.320820188,1217273.1812191175,96.83991348709623,206
54000000000015,0620012715,سماله,1110574.5577269224,1081597.3777850373,97.39079382466726,643
54000000000016,2902022725,گزيك,2880237.4917313927,2814973.7147924625,97.73408348699405,2975
54000000000020,1501022728,شول آباد,1253440.815948953,1253440.815948729,99.99999999998212,889
54000000000021,0812012721,دوساري,2476657.9374627033,2476657.937463186,100.0000000000195,2123
54000000000022,0615042720,ميداود,1215523.596622002,878698.803754116,72.28973638982096,1904
54000000000023,0608032717,چغاميش,310789.7907042639,0,0,0
54000000000024,0706032711,هماشهر,6565296.609305121,6565296.609302279,99.9999999999567,3837
54000000000025,0806022722,هماشهر,6413981.077340674,6413981.077339778,99.99999999998603,3341
54000000000026,1810012622,نخل تقي,3005625.875102641,2626394.206525196,87.38260567561508,17511
54000000000034,0704032178,قطب آباد,2721063.0341575416,2721063.034157395,99.9999999999946,4144
54000000000035,0708022107,زاهدشهر,2829877.6142995665,2829877.6142985327,99.99999999996348,5305
54000000000036,0708042652,نوبندگان,1036288.1121156629,1036288.1121154561,99.99999999998005,1911
54000000000037,0720021312,قير,5807149.663151911,5801443.443320246,99.90173802704152,4618
54000000000038,0720022422,(كارزين(فتح آباد,2218517.9530564006,2218517.9530550567,99.99999999993943,4618
54000000000039,0720012653,افزر,813073.6406246026,813073.640624189,99.99999999994914,1491
54000000000040,0711022183,جويم,2866237.5031050863,2866237.5031050863,100,4222
54000000000041,0715032212,اشكنان,6356216.741401598,6356216.741402571,100.00000000001532,2434
54000000000042,0715032235,اهل,3414327.6709811627,3414327.670980956,99.99999999999395,2434
54000000000043,0711052219,بيرم,3579880.7207510048,3579880.720753468,100.00000000006881,3509
54000000000027,1804021521,خورموج,10104628.208258871,9860951.660775118,97.58846597359626,20233
54000000000028,1804012131,كاكي,4227878.904852765,4227878.904853385,100.00000000001468,5748
54000000000029,1809012662,ريز,2018333.9463087313,2018043.4015094743,99.98560472117171,1643
54000000000030,1802012258,دلوار,1631243.0915771606,1631243.091577445,100.00000000001744,5342
54000000000031,1805012483,بردخون,2263992.4664651044,2263992.4664657074,100.00000000002665,1486
54000000000032,1805032484,آبدان,2076274.1655533207,2076274.1655539752,100.00000000003153,1967
54000000000065,0620021289,گتوند,5136767.737054963,5136767.737052516,99.99999999995237,14512
54000000000066,0608012416,سالند,1334981.789167662,1334010.649655705,99.92725447494215,2923
54000000000067,0614022649,حر,1893848.680489285,1893848.6804898363,100.0000000000291,3640
54000000000068,0614021281,شوش,12069652.379939277,6081583.993159977,50.3873997503694,21231
54000000000069,0608022419,ميانرود,1933675.9693260288,1892372.587490591,97.86399673520098,945
54000000000070,0608022100,شمس آباد,1953123.8527313992,561454.9130951926,28.74650843621672,2467
54000000000071,0608021282,دزفول,34238816.78466267,23574395.36366514,68.85283306351091,118400
54000000000072,0609011283,بستان,4081680.483078704,3131747.721688446,76.72692006813456,2561
54000000000073,0623012313,رفيع,1903062.4716015344,1816003.6884716875,95.42533235618997,1909
54000000000074,0623021285,هويزه,4516282.215821081,4516282.215822115,100.0000000000229,6112
54000000000075,0609021284,سوسنگرد,13320339.001481911,10977485.858212173,82.41146007613551,19519
54000000000076,0625012105,حميديه,5045947.634875656,4049103.2883367892,80.24465534186163,8537
54000000000077,0624022310,شيبان,5644337.368380716,5644337.364999533,99.999999940096,23605
54000000000078,0624022309,ويس,2307233.4873525132,1129791.0757471155,48.96734907586313,3720
54000000000079,0624012106,ملاثاني,7279276.559688894,4208967.633402763,57.821235378130055,8263
54000000000081,0607011280,خرمشهر,47922135.112558335,42072882.041300565,87.79425612502617,48806
54000000000082,0601021270,آبادان,86436273.59443378,75031495.60336077,86.80556493609942,147686
54000000000083,0605021276,بندرماهشهر,37102134.888009205,31002890.854622856,83.5609351003747,80903
54000000000084,0605022311,چمران,10268412.387387535,4498984.5247931415,43.81382783495476,7926
54000000000085,0601011269,اروندكنار,7226477.88383306,7134877.974369304,98.73244046496453,5841
54000000000017,2908022726,ارسك,1432186.5669646922,1432186.5669674145,100.00000000019007,3514
54000000000018,2404042723,مرادلو,393902.15085922857,393902.1508597605,100.00000000013505,638
54000000000019,1504012727,هفت چشمه,436362.1902528223,299090.0819523986,68.54170426156992,444
54000000000096,1802021518,اهرم,4030578.493260542,3817419.2310520494,94.711447437014,7481
